nom,adresse,description,telephone,courriel,site_web,territoire,clientele,categorie_territoire
déphy montréal,Villeray—Saint-Michel—Parc-Extension Montréal QC,Regroupement des organismes de défense des droits des personnes vivant avec un handicap. Concertation. Réseautage. Action communautaire. Représentation.,514 255-4888,info@dephy-mtl.org,dephy-mtl.org,île de Montréal,organismes de défense des droits des personnes vivant avec une déficience physique ou sensorielle,montreal
organisation single momtreal - récupération d'articles usagés,Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC,"Récupération d'articles usagés: meubles, vêtements, jouets, etc. Collecte à domicile ou récupération sur place.",,organisationsinglemomtreal@gmail.com,,île de Montréal,grand public,montreal
regroupement québécois des centres d'aide et de lutte contre les agressions à caractère sexuel,Montréal QC,Regroupement des CALACS. Réseau d'échange pour travailleuses et personnes militantes. Formation et information. Mobilisation et sensibilisation à la violence,1 877 717-5252,info@rqcalacs.qc.ca,rqcalacs.qc.ca,le Québec,femmes,provincial
centre universitaire de santé mcgill - consultation sida,QC,"Service spécialisé de consultation téléphonique sur le VIH, soutenu par une équipe formée de personnes expertes, offert aux personnes professionnelles de la santé du Québec.",1 800 363-4814,,cusm.ca/med-infectious-diseases/page/soins-et-services-1,le Québec,personnes professionnelles de la santé,provincial
hybridé (l'),Montréal QC,Organisme à but non lucratif par et pour les personnes adoptées à l'international au Québec. Groupe d'entraide. Retour aux origines: ateliers de groupe pour échanger sur le processus de retour aux pay...,438 389-5465,info@lhybride.com,www.lhybride.com,le Québec,adultes ayant été adopté de l'international au Québec,provincial
1 844-animaux,Montréal QC,Ligne téléphonique pour la dénonciation de la cruauté envers les animaux de compagnie ou d'élevage. Formulaire de plainte en ligne. Démarches confidentielles.,1 844 264-6289,,www.quebec.ca/agriculture-environnement-et-ressources-naturelles/sante-animale/securite-bien-etre-animaux/plainte-securite-bien-etre-animaux,le Québec,,provincial
projets autochtones du québec - logements de transition,Ville-Marie Montréal QC,Logements de transition pour une période de 3 mois à 3 ans. Programme d'intervention personnalisé. Soutien à l'obtention de l'aide sociale. Programme de compétences de vie et de confiance en soi. C,514 879-3310,jade.touchefeu@paqc.org,www.paqc.org/fr/programme-transition,île de Montréal,"personnes autochtones de 18 ans et plus, des Premières Nations, Métis et Inuit en situation d'itinérance ou de précarité",montreal
programme logisvert,QC,"Aide financière pour la mise en place de mesures d'efficacité énergétique: thermopompe, accumulateur de chaleur, cuisinière à induction, isolation du toit et travaux de calfeutrage, etc.",1 833 396-1888,info@logisvert.ca,www.hydroquebec.com/residentiel/mieux-consommer/aides-financieres/logisvert.html,le Québec,"locataires ou propriétaires (maison, copropriété, immeuble multilogement), entreprises d'installation ou de construction",provincial
association des professionnels en électrolyse et soins esthétiques du québec,Saint-Lambert Montérégie QC,Association professionnelle. Promotion des services en soins esthétiques. Surveillance de la qualité de l'information diffusée. Répertoire des membres: www.apeseq.ca/repertoire,1 800 363-9009,info@apeseq.ca,apeseq.ca,le Québec,"professionnels en soins esthétiques, grand public",provincial
maison marguerite de montréal (la),Rosemont—La Petite-Patrie Montréal QC,"Hébergement à court terme, maximum 6 semaines, avec repas. Hébergement de transition à long terme. Hébergement permanent avec soutien communautaire. Information, référence aux organismes appropriés. S...",438-380-9989,info@maisonmarguerite.com,maisonmarguerite.com,île de Montréal,femmes seules sans-abris de 18 ans et plus en processus de réintégration sociale,montreal
ligue la leche,L'ancienne-Lorette Capitale-Nationale QC,"Information et soutien. Consultation téléphonique. Groupes de soutien: réunions d'information et de partage sur l'allaitement maternel. Soutien entre mères par téléphone, en personne et en ligne. Bibl...",1 866 255-2483,information@allaitement.ca,allaitement.ca,le Québec,"parents qui désirent allaiter, qui allaitent ou qui veulent de l'information sur le sevrage, leur famille, intervenant·e·s auprès des familles de jeunes enfants, professionnel·le·s de la santé",provincial
outremangeurs anonymes -  intergroupe français de montréal,Montréal QC,Entraide et soutien pour personnes vivant avec un trouble alimentaire. Groupes d'entraide basés sur les 12 étapes. Horaire des réunions virtuelles et en présentiel: outremangeurs.org/reunions,1 877 509-1939,reunions@outremangeurs.org,outremangeurs.org,Grand Montréal et les environs,"adultes vivant avec un trouble alimentaire (anorexie, boulimie, hyperphagie, etc.)",grand_montreal
urgence québec,QC,Carrefour de l'information gouvernementale en sécurité et situations d'urgence.,1 877 644-4545,,www.quebec.ca/securite-situations-urgence,le Québec,,provincial
guichet d'accès à un médecin de famille,Québec Capitale-Nationale QC,Guichet unique pour trouver un médecin de famille ou un·e infirmier·ère praticien·ne spécialisé·e en soins de première ligne qui accepte l'inscription de nouveaux·elles patient·e·s. Inscription à la l...,,,www.quebec.ca/sante/trouver-une-ressource/inscription-aupres-dun-medecin-de-famille,"le Québec, excluant les régions du Nunavik et des Terres-Cries-de-la-Baie-James","personnes de 14 ans et plus qui ont une carte d'assurance maladie valide, qui ne sont pas déjà inscrits auprès d'un médecin de famille et qui demeurent à l'adresse inscrite dans leur dossier à la Régie de l'assurance maladie du Québec (RAMQ)",provincial
i'mmigrant,Villeray—Saint-Michel—Parc-Extension Montréal QC,Club de conversation en anglais. Club de conversation en français. Projets photo et vidéo. Événements culturels. Conseils d'experts. Informations sur l'éducation des adultes au Québec. Plateforme d'ai...,,info@immigrantcanada.org,immigrantcanada.org/fr,Grand Montréal,"réfugié·e·s, expatrié·e·s, étudiant·e·s internationaux et immigrant·e·s",grand_montreal
"chrysalide, centre d'accompagnement aux familles monoparentales (la)",Le Plateau-Mont-Royal Montréal QC,Logement transitoire temporaire: durée de 1 à 3 ans avec soutien communautaire. Réalisation d'un projet socioprofessionnel. Activités et projets variés.,514 875-9529,info@chrysalide445.org,www.reseauhabitationfemmes.org,Grand Montréal,femmes cheffes de famille monoparentale,grand_montreal
togo,Québec Capitale-Nationale QC,Soutien psychologique par le biais de chiens formés par une équipe multidisciplinaire. Chiens d'assistance psychologique: formés pour accompagner les personnes au quotidien. Chiens d'intervention: for...,,admission@leschienstogo.com,leschienstogo.com,le Québec,"soutien psychosocial et chiens d'assistance psychologique: vétéran, militaire ou intervenant·e de première ligne. Âge minimum des enfants du foyer pour l'adoption d'un chien TOGO: 6 ans",provincial
maison charlemagne,Montréal QC,"Centre résidentiel communautaire de juridiction provinciale. Soutien et encadrement via un programme de réinsertion sociale lors des périodes de permission de sortir, de libération conditionnelle, de ...",514 253-1926,info@maison-charlemagne.org,maison-charlemagne.org,île de Montréal,"hommes adultes judiciarisés au niveau provincial, bénéficiant d'une mesure de libération ou de suivi en communauté",montreal
services québec - bureaux régionaux,QC,Guichet multiservice des services gouvernementaux offerts aux individus et aux entreprises offrant un accès simplifié aux services publics. Localisateur de bureaux de Service Québec: www.localisateur....,1 877 644-4545,,www.quebec.ca/services-quebec,le Québec,"grand public, variable selon le programme",provincial
clic aide,Capitale-Nationale QC,"Service de consultation en vidéoconférence à faible coût pour personnes, couples et familles vivant une situation difficile ou ressentant le besoin de se confier. Consultation individuelle, conjugale ...",,info@clicaide.org,www.clicaide.org,le Québec,"personnes, couples et familles vivant une situation difficile ou ressentant le besoin de se confier",provincial
maison l'issue,Montréal QC,Hébergement au stade de la remise en liberté provisoire pour auteurs de violence conjugale.,514 270-6633,info@transitioncentresud.ca,transitioncentresud.ca/maison-l-issue,île de Montréal,"hommes de 18 ans et plus référés par les services correctionnels du Québec ou du Canada, ou par la Commission québécoise des libérations conditionnelles",montreal
maison d'accueil la dauphinelle,Montréal QC,"Maison d'hébergement pour femmes victimes de violence conjugale ou intrafamiliale, avec ou sans enfants. Information, écoute, références. Hébergement d'urgence. Hébergement temporaire. Séjour de 8 sem...",514 598-7779,intervention@ladauphinelle.org,ladauphinelle.org,Grand Montréal,"femmes victimes de violence conjugale ou intrafamiliale, avec ou sans enfants",grand_montreal
maison d'hérelle - appartements satellites d'hérelle,Montréal Montréal QC,Projet de colocation permanente avec soutien communautaire pour personnes vivant avec le VIH en situation de fragilité psychosociale.,514 844-4874 poste 101,info@maisondherelle.org,maisondherelle.org,Grand Montréal,personnes vivant avec le VIH/sida,grand_montreal
action pour la communauté-est - clinique d'impôts,Rivière-des-Prairies Montréal QC,Clinique d'impôts ouverte toute l'année sur rendez-vous. Service à domicile pour personnes à mobilité restreinte. Déclaration d'impôts pour l'année courante et jusqu'à 11 années précédentes.,514 400-1283,impot.apc.est@proton.me,,Grand Montréal,personnes à revenu modeste ou sans revenus,grand_montreal
ismart,Montréal Montréal QC,Application mobile de gestion du stress. Établissement de la chronicité du stress. Proposition de solutions adaptées.,,,centreaxel.com/fr/projects/ismart,le Québec,,provincial
association d'iléostomie et de colostomie de montréal,Montréal QC,"Réhabilitation et réadaptation à une vie normale après une stomie. Aide technique et psychologique. Activités : déjeuners communautaires, dîners cabane à sucre, rencontres d'informations.",450 432-2386,,www.aicm-montreal.org,Grand Montréal,personnes stomisées et leurs proches,grand_montreal
aristopattes (les),Montréal QC,"Soins médicaux pour animaux domestiques. Prise en charge des animaux domestiques abandonnés, errants, malades, blessés ou maltraités. Transfert vers des organismes ou refuges partenaires pour leur mis...",,info@aristopattes.ca,aristopattes.ca,"le Québec, Ontario","animaux domestiques abandonnés, malades, blessés ou nécessitant des soins médicaux pour ensuite les placer en adoption",provincial
tel-aide montréal,Montréal QC,"Ligne téléphonique d'écoute anonyme et confidentielle pour tout besoin: santé mentale, dépendance, couple en crise, violence conjugale, stress au travail, abus et intimidation, solitude, relations ten...",514 935-1101,info@telaide.org,telaidemontreal.org,Grand Montréal,personnes ayant besoin de se confier,grand_montreal
revenu québec - programme allocation-logement,Ville-Marie Montréal QC,Aide financière d'appoint pour les ménages à faible revenu qui consacrent une part trop importante de leur revenu au paiement de leur logement ou au remboursement de leur prêt hypothécaire. Période du...,514 940-1481,,www.revenuquebec.ca/fr/citoyens/votre-situation/faible-revenu/programme-allocation-logement,le Québec,"personnes seules de 50 ans ou plus, couples dont l'une des personnes est âgée de 50 ans ou plus, familles à faible revenu comptant au moins un enfant à charge",provincial
maison oxygène montréal - maison claude hardy,Mercier—Hochelaga-Maisonneuve Montréal QC,Hébergement temporaire d'une durée de 3 mois.,514 655-6625,oxygene@maisonoxygene.com,carrefourfamilial.com/maison-oxygene-montreal,Grand Montréal,"pères rencontrant des difficultés personnelles, conjugales ou familiales et leurs enfants",grand_montreal
dans la rue - le bunker,Ville-Marie Montréal QC,Refuge d'urgence de 3 à 5 jours. Accueil de personnes mineures en fugue. Souper et déjeuner. Aide pour l'obtention de pièces d'identité. Information et référence. Accompagnement dans les démarches de ...,514 524-0029,bunker@danslarue.org,danslarue.org,île de Montréal,"personnes sans-abri de 12 à 21 ans, personnes trans sans-abri de 12 à 25 ans, avec ou sans animaux",montreal
onroule.org,Ville-Marie Montréal QC,"Répertoire web des lieux publics et commerces accessibles, de logements accessibles, adaptables et adaptés, d'organismes accessibles et de ressources liées à l'accessibilité.",438 476-7012,info@onroule.org,onroule.org,Province de Québec,"personnes à mobilité réduite, jeunes familles, personnes aînées, personnes ayant des limitations fonctionnelles, personnes vivant en situation de handicap",provincial
albatros-montréal,Montréal QC,Accompagnement bénévole des personnes en soins palliatifs ou en fin de vie. Soutien aux proches. Formation des accompagnateur·rice·s. Conférences.,514 255-5530,info@albatros-mtl.ca,www.albatros-mtl.ca,Grand Montréal,"personnes en soins palliatifs ou en fin de vie, leurs proches",grand_montreal
maison d'accueil la dauphinelle - hébergement temporaire,Montréal QC,Hébergement de 2e étape pour femmes avec enfants sortant d'une maison d'hébergement de 1re étape et qui sont victimes de violence conjugale post-séparation.,514 598-7779,appartement@ladauphinelle.org,ladauphinelle.org,Grand Montréal,femmes avec enfants sortant d'une maison d'hébergement de 1re étape et qui sont victimes de violence conjugale postséparation,grand_montreal
banque d'échanges communautaires de services,Montréal QC,"Échange de biens et services selon une banque de temps. Diverses possibilités: médecine douce, acupuncture, massage, cuisine, déménagement, gardiennage, jardinage, etc.",,info@becs.ca,becs.ca,"Grand Montréal, MRC La Rivière-du-Nord","organismes communautaires, public",grand_montreal
mission bon accueil - logements de transition pour hommes,Montréal QC,Logements de transition pour hommes. Séjour pouvant aller jusqu'à trois ans.,514 935-6396,info@missionba.com,missionbonaccueil.com,Grand Montréal,hommes sans-abri ou dans le besoin de 18 ans et plus,grand_montreal
maison lapierre,Ahuntsic-Cartierville Montréal QC,"Hébergement pour personnes demandeuses d'asiles. Durée allant jusqu'à 6 mois. Chambres meublées avec commodités. Salles de bain, cuisines et espaces communs. Accompagnement dans les démarches d'intégr...",514 387-4477,info@migrantmontreal.org,migrantmontreal.org,Grand Montréal,"personnes de 18 ans et plus autonomes dans le besoin, sans enfants, priorité donnée aux personnes demandeuses d'asiles",grand_montreal
femmes autochtones du québec,Kahnawake Montérégie QC,"Représentation et défense des intérêts des femmes autochtones. Promotion de la non-violence, de la justice, de l'égalité des droits et de la santé. Ateliers de prévention de la violence familiale et d...",1 800 363-0322,info@faq-qnw.org,faq-qnw.org,le Québec,"femmes autochtones vivant en communauté et en milieu urbain, incluant les personnes autochtones s'identifiant comme femmes",provincial
comité des usagers de l'institut universitaire en santé mentale de montréal,Montréal QC,Comité des personnes usagères. Renseignements sur les droits et obligations. Défense des droits et intérêts. Accompagnement dans les démarches pour porter plainte.,514 251-4000 poste 3100,comiteusagers.iusmm@ssss.gouv.qc.ca,ciusss-estmtl.gouv.qc.ca/propos/comite-des-usagers-et-des-residents,île de Montréal,personnes usagères de l'Institut universitaire en santé mentale de Montréal,montreal
organisation single momtreal - récupération d'articles usagés,Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC,"Récupération d'articles usagés: meubles, vêtements, jouets, etc. Collecte à domicile ou récupération sur place.",,organisationsinglemomtreal@gmail.com,,île de Montréal,grand public,montreal
réseau habitation femmes - maison pie-ix,Mercier—Hochelaga-Maisonneuve Montréal QC,"Logements sociaux permanents pour femmes avec soutien communautaire. Meubles fournis: lit, frigidaire et poêle.",514 875-9529,info@reseauhabitationfemmes.org,www.reseauhabitationfemmes.org,Grand Montréal,"femmes de 18 ans et plus seules, autonomes, mais à risque d'itinérance ou en difficulté, avec un revenu inférieur à 33 500$",grand_montreal
réseau habitation femmes - maison sainte-catherine,Montréal Montréal QC,"Logements sociaux permanents pour femmes avec soutien communautaire. Meubles fournis: lit, frigidaire, poêle, tables, chaises et meubles de rangement.",514 875-9529,info@reseauhabitationfemmes.org,www.reseauhabitationfemmes.org,Grand Montréal,"femmes de 18 ans et plus seules, autonomes, mais à risque d'itinérance ou en difficulté, avec un revenu inférieur à 33 500$",grand_montreal
guides du canada - conseil du québec,Montréal QC,"Promotion de l'assurance, de la responsabilité, de l'initiative et du courage chez les filles dans le cadre d'une programmation novatrice appropriée pour leur âge. Activités diverses de mérite.? Proje...",1 800 565-8111,info@guidescanada.ca,www.girlguides.ca/web/qc-fr,le Québec,filles de 5 à 18 ans,provincial
carrefour d'alimentation et de partage saint-barnabé - maison cartier,Mercier—Hochelaga-Maisonneuve Montréal QC,Chambres individuelles pour hommes sans enfants en situation d'itinérance ou à risque de l'être. Soutien offert et possibilité d'accéder à tous les services du Cap Saint-Barnabé. Favo,514 251-2081,info@capstbarnabe.org,www.capstbarnabe.org,Grand Montréal,hommes seuls sans enfants en situation d'itinérance ou à risque de l'être,grand_montreal
maison le prélude (la) - 2e étape,Laval QC,Appartements de 2e étape.,,info@maisonleprelude.com,www.maisonleprelude.com,"Laval, île de Montréal et les environs",femmes victimes de violence conjugale avec ou sans enfants et ayant séjourné en maison d'hébergement,grand_montreal
comité des usagers des installations d'ahuntsic-montréal-nord,Montréal QC,Comité des personnes usagères. Renseignements sur les droits et obligations. Amélioration de la qualité des conditions de vis des personnes usagères. Évaluation du degré de satisfaction des s,514 384-2000 poste 7200,cu.amn.cnmtl@ssss.gouv.qc.ca,www.ciusssnordmtl.ca/a-propos/comites-et-conseils/comites-des-usagers-et-comites-des-residents/liste-des-comites-des-usagers-et-des-comites-des-residents,île de Montréal,"personnes usagères des CLSC d'Ahunstic, CLSC de Montréal-Nord, CHSLD Laurendeau, CHSLD Légaré, CHSLD Paul-Lizotte et de l'Hôpital Fleury",montreal
fédération des maisons d'hébergement pour femmes,Rosemont—La Petite-Patrie Montréal QC,Lieu d'échange et de formation pour les maisons membres. Promotion et sensibilisation. Défense des droits des femmes violentées et de leurs enfants. Représentation des maisons d'hébergement membres.,514 878-9757,info@fmhf.ca,fmhf.ca,le Québec,"maisons, gîtes, refuges et autres services sans but lucratif visant le bien-être ou la réinsertion des femmes vivant de la violence ou des difficultés d'intégration (itinérance, périodes de crise, toxicomanie, santé mentale)",provincial
ostéoporose canada,Montréal QC,Documentation et identification des facteurs de risque. Ligne d'information. Éducation. Groupes de soutien.,1 800 463-6842,montreal@osteoporosecanada.ca,osteoporosecanada.ca,le Québec,"personnes vivant avec l'ostéoporose, leurs proches",provincial
groupe amorce,Le Plateau-Mont-Royal Montréal QC,"Évaluation et intervention auprès des hommes ayant des comportements ou des fantasmes sexuels sur les enfants ou les adolescent·e·s. Groupes de soutien hebdomadaire ouverts, dirigés par des profession...",514 355-8064,info@groupeamorce.com,groupeamorce.com,Grand Montréal,hommes adultes auteurs de délits sexuels sur les enfants ou adolescent·e·s,grand_montreal
se défouler autour d'un thé,Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC,"Service bénévole d'écoute active. Écoute en personne, par téléphone ou en vidéoconférence. Opportunités de bénévolat.",,info@ventovertea.com,ventovertea.com/fr,"services en personne: île de Montréal et Sherbrooke, sessions vidéo et téléphoniques: Canada",toute personne âgée de 14 ans ou plus ayant besoin de se confier,montreal
comités des usagers du chsld saint-joseph-de-la-providence et du chsld des bâtisseurs,Montréal QC,Comité des personnes usagères. Renseignements sur les droits et obligations. Amélioration de la qualité des conditions de vis des personnes usagères. Évaluation du deg,514 331-2572 poste 4308,cr.sjp.cnmtl@ssss.gouv.qc.ca,www.ciusssnordmtl.ca/a-propos/comites-et-conseils/comites-des-usagers-et-comites-des-residents/liste-des-comites-des-usagers-et-des-comites-des-residents,île de Montréal,personnes usagères du CHSLD Saint-Joseph-de-la-Providence et du CHSLD des Bâtisseurs,montreal
accueil bonneau - maison claire-ménard,Ville-Marie Montréal QC,Hébergement à durée indéterminée.,514 845-3906 poste 0-245,soutien.hebergement@accueilbonneau.com,www.accueilbonneau.com,île de Montréal,hommes de 25 ans et plus ayant vécu une situation d'itinérance ou à risque d'en vivre une,montreal
comité des usagers de la montagne,Montréal QC,Comité des personnes usagères. Renseignements sur les droits et obligations. Défense des droits et intérêts. Accompagnement dans les démarches et pour porter plainte.,514 731-8531 poste 46241,comiteusagers.dlm@ssss.gouv.qc.ca,www.ciussscentreouest.ca/a-propos-du-ciusss/les-comites-des-usagers,île de Montréal,"personnes usagères du CLSC de Côte-des-Neiges, Métro et Parc-Extension, Maison de naissance Côte-des-Neiges, Maison Bleue de Côte-des-Neiges, Maison Bleue de Parc-Extension, PRAIDA",montreal
centre de recherche et d'expertise en gérontologie sociale,Côte-Saint-Luc Montréal QC,Recherche scientifique. Développement de services et de pratiques de pointe. Participation à l'enseignement universitaire. Formation pour professionnels du réseau de la santé et des services soc,,info@creges.ca,www.creges.ca,le Québec,,provincial
divulgations en matière d'intégrité publique (actes répréhensible),Capitale-Nationale QC,Traitement des divulgations d'actes répréhensibles à l'égard d'un organisme public et des plaintes relativement à des actes de représailles suite à une divulgation. Service de consultati,1 800 463-5070,protecteur@protecteurducitoyen.qc.ca,protecteurducitoyen.qc.ca,le Québec,,provincial
perroquetsecours,Montérégie QC,"Signalement des oiseaux perdus et retrouvés, publication en ligne des avis de recherche. Service de placement et d'adoption d'oiseaux. Aide et répit en cas d'urgence. Information et référence. Boutiqu...",450 567-8765,organisme@perroquetsecours.com,www.perroquetsecours.com,le Québec,"personnes ayant un oiseau de compagnie, grand public",provincial
info-aide violence sexuelle,Montréal QC,"Service d'écoute confidentiel par téléphone et clavardage pour victimes de violences sexuelles. Écoute, soutien, information et référence vers les ressources d'aide et de protection.",1 888 933-9007,info@cvasm.ca,infoaideviolencesexuelle.ca,le Québec,"personnes de tout âge victimes de violence sexuelle, leurs proches, intervenant·e·s",provincial
fonds d'entraide desjardins,Montréal QC,Soutien à la gestion budgétaire par l'intermédiaire d'un organisme de consultation de la région. Soutien aux personnes dont la situation financière est précaire. Prêts disponibles (environ 500$) pour ...,,,www.desjardins.com/a-propos/responsabilite-sociale-cooperation/produits-services-financiers-responsables/finance-solidaire/fonds-entraide,le Québec,personnes en difficulté financière,provincial
programme sphères,Montréal QC,Continuum de services et d'activités de découverte personnelle pour jeune afin de les aider à construire leur identité et développer leur pouvoir d'agir. Démarche volontaire et non contraignante. Suiv...,514 896-3590,coordospheres@enmarge1217.ca,programmespheres.ca,Grand Montréal,"personnes de 12 à 24 ans vivant ou ayant vécu une situation d'exploitation sexuelle, qui aspirent à apporter des changements dans sa vie et qui souhaitent un accompagnement et un suivi personnalisé",grand_montreal
cercle des handicapés visuels de ville-marie,Montréal QC,"Activités pour les handicapés visuels. Activités sociales, récréatives et culturelles pour les membres et leurs invités. Bingo et crible.",514 236-1614,cerclevillemarie@gmail.com,,Grand Montréal,personnes avec un handicap visuel,grand_montreal
force de l'amitié de montréal (la),Montérégie QC,Promotion de l'amitié et la paix entre différentes cultures. Voyages transformateurs. Activités socio-culturelles locales. Création de liens d'amitié. Accueils de visiteurs du réseau FFI. Séjours chez...,,info@forceamitiemontreal.ca,forceamitiemontreal.ca,Grand Montréal,grand public,grand_montreal
association croire,Montérégie QC,"Activités complémentaires aux traitements médicaux à des fin de ressourcement pour le corps, le cour et l'esprit aux personnes touchées par le cancer ainsi qu'aux personnes proches aidantes. Chorale. ...",514 953-4806,croirehmr@gmail.com,,le Québec,"personnes atteintes par le cancer, personnes proches aidantes, personnes soignantes, personnes sensibles à la cause du cancer",provincial
association d'entraide le chaînon - logements de transition,Montréal QC,Logements de transition pour femmes. Séjour pouvant aller jusqu'à 12 mois. Accompagnement. Repas inclus.,514 845-0151,secretariat@lechainon.org,lechainon.org,Grand Montréal,femmes en difficulté de 18 ans et plus,grand_montreal
société de l'assurance automobile du québec,Capitale-Nationale QC,"Trouver un point de service: saaq.gouv.qc.ca/trouver-point-de-service SAAQClic, portail des services en ligne: saaqclic.saaq.gouv.qc.ca Renseignements concernant l'assurance automobile: permis de cond...",1 800 361-7620,,saaq.gouv.qc.ca,le Québec,grand public,provincial
mission old brewery - les voisines de lartigue - logements de transition,Ville-Marie Montréal QC,Logements de transition pour une durée maximale de 2 ans. Studios meublés avec salle de bain privée. Accompagnement psychosocial et soutien au quotidien en vue d'une réintégration,514 866-6591,info@missionoldbrewery.ca,www.missionoldbrewery.ca/fr,Grand Montréal,femmes en situation d'itinérance nécessitant un soutien supplémentaire afin d'atteindre leur autonomie,grand_montreal
comité des usagers des installations d'ahuntsic-montréal-nord,Montréal QC,Comité des personnes usagères. Renseignements sur les droits et obligations. Amélioration de la qualité des conditions de vis des personnes usagères. Évaluation du degré de satisfaction des s,514 384-2000 poste 7200,cu.amn.cnmtl@ssss.gouv.qc.ca,www.ciusssnordmtl.ca/a-propos/comites-et-conseils/comites-des-usagers-et-comites-des-residents/liste-des-comites-des-usagers-et-des-comites-des-residents,île de Montréal,"personnes usagères des CLSC d'Ahunstic, CLSC de Montréal-Nord, CHSLD Laurendeau, CHSLD Légaré, CHSLD Paul-Lizotte et de l'Hôpital Fleury",montreal
concordia students' nightline,Montréal QC,Service d'écoute active anonyme et confidentiel de soir et de nuit. Information et référence. Gestion de crise.,514 848-7787,cnightlineexternal@gmail.com,,le Québec,grand public,provincial
upop montréal,Montréal QC,"Éducation populaire favorisant le développement de l'esprit critique. Cours d'une à plusieurs séances: économie, histoire, art, politique, environnement, etc. Baladodiffusion des cours: podcasters.spo...",,,www.upopmontreal.com,le Québec,grand public,provincial
comité des usagers des installations de la petite-patrie-villeray,Montréal QC,Comité des personnes usagères. Renseignements sur les droits et obligations. Amélioration de la qualité des conditions de vis des personnes usagères. Évaluation du degré de satisfaction d,514 495-6767 poste 1919,cu.ppv.cnmtl@ssss.gouv.qc.ca,www.ciusssnordmtl.ca/a-propos/comites-et-conseils/comites-des-usagers-et-comites-des-residents/liste-des-comites-des-usagers-et-des-comites-des-residents,île de Montréal,"personnes usagères des CLSC de La Petite-Patrie, CLSC de Villeray, CHSLD Auclair, CHSLD de La Petite-Patrie, CHSLD Paul-Gouin et de l'Hôpital Jean-Talon",montreal
mission old brewery - maison des voisines de lanaudière (la),Ville-Marie Montréal QC,Résidence de transition. Accompagnement psychosocial ayant une durée déterminée en fonction du programme.,514 526-6446 poste 521,info@missionoldbrewery.ca,www.missionoldbrewery.ca,Grand Montréal,femmes ayant déjà été accueillies au pavillon Patricia Mackenzie,grand_montreal
psyman,Le Plateau-Mont-Royal Montréal QC,Psychothérapie pour jeunes hommes. Rencontre d'accueil gratuite en visioconférence ou en personne.,514 578-4472,info@psyman.ca,psyman.ca,Grand Montréal,hommes de 17 à 25 ans,grand_montreal
registre de vaccination du québec,Montréal Montréal QC,Fichier informatisé informant des personnes intervenantes du réseau de la santé de l'information sur les vaccins reçus par une même personne. Demande d'accès aux renseignements relatifs à la vaccinati...,811,,www.quebec.ca/sante/vos-informations-de-sante/registre-de-vaccination-du-quebec,le Québec,,provincial
comité des usagers du clsc de saint-laurent et du clsc de bordeaux-cartierville,Montréal QC,Comité des personnes usagères. Renseignements sur les droits et obligations. Amélioration de la qualité des conditions de vis des personnes usagères. Évaluation du degré de,514 331-3020 poste 5171306,cu.nistl.cnmtl@ssss.gouv.qc.ca,www.ciusssnordmtl.ca/a-propos/comites-et-conseils/comites-des-usagers-et-comites-des-residents/liste-des-comites-des-usagers-et-des-comites-des-residents,île de Montréal,personnes usagères du CLSC de Saint-Laurent et du CLSC de Bordeaux-Cartierville,montreal
loco montréal,Montréal QC,Plateforme web pour les organismes communautaires qui souhaitent s'informer et réseauter sur l'offre de locaux abordables et accessibles. Ressources et information. Ateliers.,,loco.montreal@gmail.com,loco-mtl.net,île de Montréal,organismes communautaires,montreal
humain avant tout,Montréal Montréal QC,Diffusion de contenu éducatif et de témoignages sur la santé mentale. Sensibilisation du public.,,contact@humainavanttout.com,www.humainavanttout.com,le Québec,,provincial
escale pour elle (montréal) (l'),Montréal QC,"Maison d'hébergement. Écoute téléphonique, information et référence. Intervention en violence conjugale. Défense de droits. Accompagnement dans les démarches. Intervention auprès des enfants, aide dan...",514 493-4004,escalem@videotron.ca,www.lescalepourelle.ca,Grand Montréal,"femmes victimes de violence conjugale, leurs enfants",grand_montreal
association québécoise des retraité(e)s des secteurs public et parapublic - région de montréal,Mercier—Hochelaga-Maisonneuve Montréal QC,"Services aux personnes retraitées ou préretraitées. Défense et promotion des droits et des intérêts économiques, financiers, culturels, intellectuels et socia",1 800 653-2747 poste 5,montreal@aqrp.ca,www.aqrp.ca,île de Montréal,personnes retraitées et préretraitées de 50 ans et plus des secteurs public et parapublic du Québec,montreal
montréal - sports et loisirs,Montréal QC,"Implantation d'une vision commune des sports et loisirs à Montréal.Activités à l'année Bibliothèque: accès au catalogue Nelligan, consultation de dossier et renouvellement en ligne. Information sur l'...",311,,montreal.ca/sports-et-loisirs,"île de Montréal, programme Accès-Loisirs: Ahuntsic-Cartierville, Lachine, Le Sud-Ouest, Mercier-Hochelaga-Maisonneuve, Rosemont-La Petite-Patrie, Villeray-Saint-Michel-Parc-Extension","grand public, programme Accès-Loisirs: personnes à faible revenu",local
société de transport de montréal - service de signalements par messages texte,,"Service de signalements par messages texte, permettant d'aviser de tout enjeu de sécurité non urgent dans le métro.",1 888 786-1119,,,île de Montréal,grand public,montreal
